Module	Field Identifier	Field (User Interface Label)	Field (Code Label)	Menu	NullValueMenu	Description	Examples
Sample collection and processing	GENEPIO:0001261	passage number	passage_number			Number of passages.	3
Sample collection and processing	GENEPIO:0100433	presampling activity	presampling_activity	PresamplingActivityMenu	TRUE	The activities or variables upstream of sample collection that may affect the sample.	Agricultural activity
Sample collection and processing	GENEPIO:0100434	presampling activity details	presampling_activity_details		TRUE	The details of the activities or variables that affected the sample collected.	Agricultural waste from large farm contributes waste to the site sampled.
Sample collection and processing	GENEPIO:0101205	proximal environmental site	proximal_environmental_site	EnvironmentalSiteMenu		An environmental location in the natural or built environment, that is proximal to a sampling location and which can impact a sample.	Farm
Sample collection and processing	GENEPIO:0001198	purpose of sampling	purpose_of_sampling	PurposeOfSamplingMenu	TRUE	The reason that the sample was collected.	Diagnostic testing [GENEPIO:0100002]
Sample collection and processing	GENEPIO:0001200	purpose of sampling details	purpose_of_sampling_details			Further details pertaining to the reason the sample was collected.	Screening of bat specimens in museum collections.
Sample collection and processing	GENEPIO:0001209	Related specimen relationship type	related_specimen_relationship_type	RelatedSpecimenRelationshipTypeMenu		The relationship of the current specimen to the specimen/sample previously submitted to the repository.	Specimen sampling methods testing
Sample collection and processing	GENEPIO:0101090	residual sample status	residual_sample_status	ResidualSampleStatusMenu		The status of the residual sample (whether any sample remains after its original use).	No residual sample (sample all used) [GENEPIO:0101088]
Sample collection and processing	GENEPIO:0001153	sample collected by	sample_collected_by		TRUE	The name of the organization with which the sample collector is affiliated.	Public Health Agency of Canada
Sample collection and processing	GENEPIO:0100428	sample collected by laboratory name	sample_collected_by_laboratory_name			The specific laboratory affiliation of the sample collector.	Topp Lab
Sample collection and processing	GENEPIO:0100277	sample collected in quarantine	sample_collected_in_quarantine	SampleCollectedInQuarantineMenu	TRUE	Whether the sample was collected from an individual in quarantine.	Yes [NCIT:C49488]
Sample collection and processing	GENEPIO:0101107	sample collection data steward contact email	sample_collection_data_steward_contact_email		null value menu	The email address of the individual responsible for the data governance, (meta)data usage and distribution of the sample.	bloggsj@aglab.ca
Sample collection and processing	GENEPIO:0100762	sample collection data steward name	sample_collection_data_steward_name			The name of the individual responsible for the data governance, (meta)data usage and distribution of the sample.	Joe Bloggs
Sample collection and processing	GENEPIO:0001174	sample collection date	sample_collection_date		TRUE	The date on which the sample was collected.	2020-03-19
Sample collection and processing	GENEPIO:0001177	sample collection date precision	sample_collection_date_precision	SampleCollectionPrecisionMenu	TRUE	The precision to which the "sample collection date" was provided.	year
Sample collection and processing	GENEPIO:0101071	sample collection end date	sample_collection_end_date		TRUE	The date on which sample collection ended for a continuous sample.	2020-03-18
Sample collection and processing	GENEPIO:0101073	sample collection end time	sample_collection_end_time		TRUE	The time at which sample collection ended.	19:15 PST
Sample collection and processing	OBIB:0000001	sample collection ID	sample_collection_id		null value menu	The identifier associated with the sample collection.	BCRCAMUAMR
Sample collection and processing	GENEPIO:0102162	sample collection name	sample_collection_name		null value menu	The name of the sample collection.	American Type Culture Collection (ATCC)
Sample collection and processing	GENEPIO:0100429	sample collection project name	sample_collection_project_name			The name of the project/initiative/program for which the sample was collected.	Children's Hospital biofilm study (A3-701-01)
Sample collection and processing	GENEPIO:0101072	sample collection start time	sample_collection_start_time		TRUE	The time at which sample collection began.	17:15 PST
Sample collection and processing	GENEPIO:0100767	sample collection time duration unit	sample_collection_time_duration_unit	SampleCollectionDurationUnitMenu	TRUE	The units of the time duration measurement of sample collection.	Hour
Sample collection and processing	GENEPIO:0100766	sample collection time duration value	sample_collection_time_duration_value		TRUE	The amount of time over which the sample was collected.	4
Sample collection and processing	GENEPIO:0100765	sample collection time of day	sample_collection_time_of_day	SampleCollectionOfDayMenu	TRUE	The descriptive time of day during which the sample was collected.	Morning
Sample collection and processing	GENEPIO:0102067	sample collection URL	sample_collection_url		null value menu	The URL associated with online material about a sample collection.	https://www.jpiamr.eu/projects/b2b2b-amrdx/
Sample collection and processing	GENEPIO:0001158	sample collector contact address	sample_collector_contact_address			The mailing address of the agency submitting the sample.	655 Lab St, Vancouver, British Columbia, V5N 2A2, Canada
Sample collection and processing	GENEPIO:0001156	sample collector contact email	sample_collector_contact_email			The email address of the contact responsible for follow-up regarding the sample.	johnnyblogs@lab.ca
Sample collection and processing	GENEPIO:0100432	sample collector contact name	sample_collector_contact_name			The name or job title of the contact responsible for follow-up regarding the sample.	Joe Bloggs, Enterics Lab Manager
Sample collection and processing	GENEPIO:0001123	sample collector sample ID	sample_collector_sample_id			The user-defined name for the sample.	ABCD123
Sample collection and processing	GENEPIO:0100431	sample plan ID	sample_plan_id			The identifier of the study design for a surveillance project.	2001_M205
Sample collection and processing	GENEPIO:0100285	sample plan name	sample_plan_name			The name of the sample plan implemented for sample collection.	CanCOGeN Sampling Strategy 1.0
Sample collection and processing	GENEPIO:0100763	sample processing date	sample_processing_date		TRUE	The date on which the sample was processed.	2020-03-16
Sample collection and processing	GENEPIO:0001179	sample received date	sample_received_date		TRUE	The date on which the sample was received.	2020-03-20
Sample collection and processing	GENEPIO:0001179	sample received date	sample_received_date			The date on which the sample was received.	2020-11-15
Sample collection and processing	GENEPIO:0101015	sample storage duration unit	sample_storage_duration_unit	SampleStorageDurationUnitMenu	TRUE	The units of a measured sample storage duration.	Day
Sample collection and processing	GENEPIO:0101014	sample storage duration value	sample_storage_duration_value			The numerical value of the time measurement during which a sample is in storage.	5
Sample collection and processing	GENEPIO:0100449	sample storage medium	sample_storage_medium			The medium in which a sample is stored.	Cary-Blair transport medium
Sample collection and processing	GENEPIO:0100448	sample storage method	sample_storage_method			The process used to store the sample.	The sample was placed in a tube in a cooler bag during transportation (~3 hours) to the lab site. At this point the sample was placed in storage medium and put in a -10C freezer until it was processed and extracted 5 days later.
Sample collection and processing	GENEPIO:0100769	sample volume measurement unit	sample_volume_measurement_unit	SampleVolumeMeasurementUnitMenu	TRUE	The units of the volume measurement of the sample collected.	mL
Sample collection and processing	GENEPIO:0100768	sample volume measurement value	sample_volume_measurement_value			The numerical value of the volume measurement of the sample collected.	5
Sample collection and processing	GENEPIO:0100877	scale of sampling	scale_of_sampling	ScaleOfSamplingMenu	TRUE	The range of locations or entities sampled expressed in general terms.	Community-level surveillance
Sample collection and processing	GENEPIO:0001159	sequence submitted by	sequence_submitted_by		TRUE	The name of the agency that generated the sequence.	Centers for Disease Control and Prevention
Sample collection and processing	GENEPIO:0001167	sequence submitter contact address	sequence_submitter_contact_address			The mailing address of the agency submitting the sequence.	123 Sunnybrooke St, Toronto, Ontario, M4P 1L6, Canada
Sample collection and processing	GENEPIO:0001165	sequence submitter contact email	sequence_submitter_contact_email			The email address of the contact responsible for follow-up regarding the sequence.	RespLab@lab.ca
Sample collection and processing	GENEPIO:0100416	sequenced by	sequenced_by	SequencedByMenu	TRUE	The name of the agency that generated the sequence.	Public Health Ontario (PHO)
Sample collection and processing	GENEPIO:0001253	specimen processing	specimen_processing	SpecimenProcessingMenu	TRUE	Any processing applied to the sample during or after receiving the sample.	Virus passage [GENEPIO:0100039]
Sample collection and processing	GENEPIO:0100311	specimen processing details	specimen_processing_details			Detailed information regarding the processing applied to a sample during or after receiving the sample.	25 swabs were pooled and further prepared as a single sample during library prep.
Sample collection and processing	GENEPIO:0100583	taxonomic identification process	taxonomic_identification_process	TaxonomicIdentificationProcessMenu	TRUE	The type of planned process by which an organismal entity is associated with a taxon or taxa.	PCR assay [OBI:0002740]
Sample collection and processing	GENEPIO:0101110	virus identifier	virus_identifier			[Under development]	
Sample collection and processing	GENEPIO:0100771	wastewater system type	wastewater_system_type	WastewaterSystemTypeMenu	TRUE	The type or classification of a wastewater system e.g. sanitary sewer, combined sewer, latrine	Sanitary sewer
Sample collection and processing	GENEPIO:0100919	watershed shapefile availability	watershed_shapefile_availability	WatershedShapefileAvailabilityMenu	TRUE	The availability status of a shapefile descriping the catchment contributing to a watershed.	watershed shapefile available
Sample collection and processing	GENEPIO:0100920	watershed shapefile filename	watershed_shapefile_filename			The name of the watershed shapefile.	siteAD17.shp, siteAD17.kml
Sample collection and processing	GENEPIO:0101111	WHO/OIE/FAO H5 clade	who_oie_fao_h5_clade			[Under development]	
Sequence information	GENEPIO:0001456	amplicon pcr primer scheme	amplicon_pcr_primer_scheme	AmpliconPcrPrimerSchemeMenu	TRUE	The specifications of the primers (primer sequences, binding positions, fragment size generated etc) used to generate the amplicons to be sequenced.	artic v1
Sequence information	GENEPIO:0102068	amplicon pcr primer scheme URL	amplicon_pcr_primer_scheme_url			A URL linking to detailed information or documentation about the amplicon PCR primer scheme, including specifications such as primer sequences, binding positions, and fragment sizes. This URL should direct users to a source that provides the necessary details to reproduce or understand the primer scheme used in the dataset.	https://github.com/artic-network/primer-schemes/tree/master/nCoV-2019/V1
